USER_ID,ITEM_ID,OUTCOME
user_006,item_002,1.0
user_043,item_015,0.0
user_007,item_002,1.0
user_046,item_017,1.0
user_034,item_013,1.0
user_013,item_017,1.0
user_016,item_001,1.0
user_035,item_002,1.0
user_049,item_015,1.0
user_039,item_008,1.0
user_003,item_003,1.0
user_001,item_000,0.0
user_005,item_003,1.0
user_041,item_000,1.0
user_003,item_013,0.0
user_028,item_015,1.0
user_017,item_019,0.0
user_025,item_007,1.0
user_043,item_006,1.0
user_033,item_002,1.0
user_009,item_016,0.0
user_035,item_000,1.0
user_013,item_015,1.0
user_030,item_011,1.0
user_047,item_018,1.0
user_014,item_013,1.0
user_007,item_005,1.0
user_013,item_005,1.0
user_022,item_012,0.0
user_039,item_018,1.0
user_020,item_007,1.0
user_015,item_001,0.0
user_044,item_000,1.0
user_017,item_014,1.0
user_046,item_000,1.0
user_023,item_004,1.0
user_025,item_015,1.0
user_024,item_018,1.0
user_044,item_003,1.0
user_040,item_002,0.0
user_028,item_016,1.0
user_014,item_016,1.0
user_044,item_011,0.0
user_000,item_013,1.0
user_024,item_005,1.0
user_008,item_008,1.0
user_000,item_016,1.0
user_043,item_013,0.0
user_023,item_000,1.0
user_010,item_019,0.0
user_016,item_000,1.0
user_034,item_017,0.0
user_034,item_009,0.0
user_032,item_002,0.0
user_004,item_007,1.0
user_041,item_013,1.0
user_038,item_017,1.0
user_040,item_014,1.0
user_027,item_001,1.0
user_006,item_009,1.0
user_008,item_001,0.0
user_007,item_016,1.0
user_011,item_007,0.0
user_033,item_000,1.0
user_032,item_008,0.0
user_047,item_010,1.0
user_022,item_015,1.0
user_023,item_006,0.0
user_036,item_009,0.0
user_034,item_002,1.0
user_043,item_017,0.0
user_039,item_012,1.0
user_021,item_006,0.0
user_026,item_003,0.0
user_034,item_012,1.0
user_000,item_019,1.0
user_034,item_000,0.0
user_036,item_007,0.0
user_046,item_013,0.0
user_002,item_013,1.0
user_000,item_011,1.0
user_004,item_018,1.0
user_025,item_014,0.0
user_013,item_001,1.0
user_038,item_001,1.0
user_026,item_018,0.0
user_008,item_016,1.0
user_014,item_019,1.0
user_014,item_009,1.0
user_025,item_005,1.0
user_041,item_014,1.0
user_012,item_010,1.0
user_031,item_004,1.0
user_038,item_000,1.0
user_048,item_007,1.0
user_031,item_011,0.0
user_003,item_011,0.0
user_029,item_004,0.0
user_036,item_006,0.0
user_022,item_003,0.0
user_038,item_005,1.0
user_044,item_012,1.0
user_042,item_014,1.0
user_028,item_002,1.0
user_035,item_007,1.0
user_012,item_019,1.0
user_031,item_015,1.0
user_006,item_012,0.0
user_021,item_017,0.0
user_027,item_009,0.0
user_001,item_018,0.0
user_041,item_016,0.0
user_044,item_018,1.0
user_005,item_004,1.0
user_027,item_008,0.0
user_027,item_011,0.0
user_043,item_000,0.0
user_019,item_014,1.0
user_029,item_001,1.0
user_010,item_015,1.0
user_027,item_007,1.0
user_024,item_012,1.0
user_032,item_015,1.0
user_000,item_006,1.0
user_026,item_004,1.0
user_012,item_002,1.0
user_040,item_011,1.0
user_002,item_015,1.0
user_038,item_018,1.0
user_007,item_013,1.0
user_008,item_014,1.0
user_036,item_016,1.0
user_032,item_013,1.0
user_041,item_019,0.0
user_043,item_004,1.0
user_023,item_011,1.0
user_014,item_015,1.0
user_031,item_006,0.0
user_023,item_003,1.0
user_040,item_000,1.0
user_048,item_004,1.0
user_048,item_009,1.0
user_011,item_004,1.0
user_038,item_003,1.0
user_001,item_001,0.0
user_002,item_019,0.0
user_036,item_018,1.0
user_048,item_000,0.0
user_016,item_004,1.0
user_048,item_012,1.0
user_001,item_003,1.0
user_001,item_015,1.0
user_027,item_015,1.0
user_022,item_001,1.0
user_031,item_019,0.0
user_032,item_011,1.0
user_000,item_017,1.0
user_018,item_002,1.0
user_025,item_018,1.0
user_031,item_010,0.0
user_003,item_002,1.0
user_010,item_000,0.0
user_037,item_007,1.0
user_023,item_009,1.0
user_004,item_010,1.0
user_033,item_011,0.0
user_005,item_012,1.0
user_021,item_011,1.0
user_010,item_013,0.0
user_047,item_001,1.0
user_015,item_018,1.0
user_032,item_017,1.0
user_008,item_002,0.0
user_005,item_016,1.0
user_015,item_007,0.0
user_028,item_009,1.0
user_002,item_001,0.0
user_019,item_018,1.0
user_035,item_008,1.0
user_018,item_006,1.0
user_025,item_003,1.0
user_002,item_017,0.0
user_018,item_012,1.0
user_019,item_010,1.0
user_031,item_003,1.0
user_006,item_003,0.0
user_040,item_009,0.0
user_032,item_004,0.0
user_038,item_002,1.0
user_017,item_016,1.0
user_039,item_002,0.0
user_000,item_015,1.0
user_010,item_003,1.0
user_027,item_017,1.0
user_024,item_016,0.0
user_049,item_006,1.0
user_022,item_004,0.0
user_029,item_016,1.0
user_041,item_012,0.0
user_006,item_008,0.0
user_015,item_016,1.0
user_025,item_016,1.0
user_047,item_019,1.0
user_048,item_015,1.0
user_001,item_012,1.0
user_000,item_018,1.0
user_047,item_016,1.0
user_011,item_003,1.0
user_004,item_011,1.0
user_036,item_008,1.0
user_031,item_018,1.0
user_008,item_011,1.0
user_040,item_008,1.0
user_034,item_006,1.0
user_018,item_013,0.0
user_002,item_014,1.0
user_019,item_015,0.0
user_048,item_003,0.0
user_007,item_015,1.0
user_035,item_006,0.0
user_037,item_012,1.0
user_039,item_009,0.0
user_019,item_006,0.0
