USER_ID,feat1,feat2
user_0,0.0,5380.0
user_1,0.0,0.0
user_2,0.0,8657.0
user_3,0.0,0.0
user_4,2000.0,0.0
user_5,345.0,0.0
user_6,331.0,19816.0
user_7,0.0,0.0
user_8,0.0,0.0
user_9,2460.0,7218.0
user_10,0.0,0.0
user_11,0.0,1928.0
user_12,0.0,5700.0
user_13,0.0,6.0
user_14,0.0,1838.0
user_15,0.0,7.0
user_16,0.0,26377.0
user_17,27765.0,19442.0
user_18,0.0,23572.0
user_19,0.0,3842.0
user_20,0.0,0.0
user_21,0.0,0.0
user_22,595.0,12376.0
user_23,1023.0,24538.0
user_24,0.0,238.0
user_25,9880.0,44654.0
user_26,0.0,1268.0
user_27,0.0,37791.0
user_28,0.0,0.0
user_29,0.0,6029.0
user_30,0.0,0.0
user_31,3965.0,34340.0
user_32,0.0,573.0
user_33,300.0,10845.0
user_34,0.0,13399.0
user_35,0.0,200.0
user_36,0.0,0.0
user_37,700.0,11451.0
user_38,0.0,0.0
user_39,3253.0,12646.0
user_40,0.0,27522.0
user_41,0.0,33037.0
user_42,0.0,0.0
user_43,0.0,0.0
user_44,475.0,56408.0
user_45,0.0,0.0
user_46,0.0,693.0
user_47,0.0,4216.0
user_48,0.0,4016.0
user_49,240.0,13542.0
user_50,0.0,3986.0
user_51,6850.0,1438.0
user_52,1050.0,27004.0
user_53,0.0,0.0
user_54,0.0,4238.0
user_55,0.0,0.0
user_56,240.0,71164.0
user_57,0.0,0.0
user_58,0.0,3764.0
user_59,0.0,3160.0
user_60,0.0,7043.0
user_61,0.0,0.0
user_62,0.0,0.0
user_63,179.0,0.0
user_64,300.0,1106.0
user_65,0.0,45652.0
user_66,0.0,0.0
user_67,0.0,9659.0
user_68,0.0,1322.0
user_69,0.0,4022.0
user_70,0.0,0.0
user_71,13856.0,16563.0
user_72,0.0,0.0
user_73,0.0,0.0
user_74,0.0,0.0
user_75,0.0,2240.0
user_76,0.0,438.0
user_77,0.0,0.0
user_78,0.0,279.0
user_79,4160.0,14799.0
user_80,0.0,0.0
user_81,71.0,0.0
user_82,1080.0,46557.0
user_83,3600.0,12235.0
user_84,0.0,15666.0
user_85,0.0,0.0
user_86,0.0,0.0
user_87,0.0,3058.0
user_88,0.0,0.0
user_89,0.0,66472.0
user_90,300.0,3176.0
user_91,0.0,4874.0
user_92,0.0,1038.0
user_93,0.0,0.0
user_94,0.0,14657.0
user_95,0.0,14219.0
user_96,625.0,77221.0
user_97,908.0,3312.0
user_98,0.0,0.0
user_99,0.0,5996.0
user_100,0.0,0.0
user_101,0.0,6425.0
user_102,61.0,8629.0
user_103,980.0,15940.0
user_104,0.0,5930.0
user_105,0.0,30497.0
user_106,1953.0,0.0
user_107,0.0,758.0
user_108,50295.0,46188.0
user_109,0.0,0.0
user_110,0.0,0.0
user_111,0.0,3962.0
user_112,0.0,150986.0
user_113,0.0,0.0
user_114,0.0,0.0
user_115,0.0,14851.0
user_116,0.0,2720.0
user_117,250.0,52458.0
user_118,0.0,0.0
user_119,0.0,1138.0
user_120,0.0,8328.0
user_121,0.0,0.0
user_122,16900.0,365075.0
user_123,1200.0,0.0
user_124,0.0,1076.0
user_125,995.0,2369.0
user_126,0.0,25554.0
user_127,0.0,9956.0
user_128,0.0,10429.0
user_129,0.0,6821.0
user_130,0.0,0.0
user_131,0.0,0.0
user_132,0.0,0.0
user_133,4481.0,0.0
user_134,0.0,1442.0
user_135,0.0,0.0
user_136,0.0,0.0
user_137,0.0,0.0
user_138,0.0,0.0
user_139,0.0,5149.0
user_140,0.0,0.0
user_141,0.0,13896.0
user_142,0.0,2648.0
user_143,0.0,0.0
user_144,0.0,23717.0
user_145,0.0,0.0
user_146,0.0,0.0
user_147,0.0,59684.0
user_148,0.0,4682.0
user_149,0.0,14015.0
user_150,0.0,0.0
user_151,0.0,0.0
user_152,0.0,16237.0
user_153,0.0,6337.0
user_154,250.0,4511.0
user_155,0.0,7759.0
user_156,0.0,1196.0
user_157,0.0,7932.0
user_158,0.0,0.0
user_159,0.0,2624.0
user_160,0.0,25158.0
user_161,0.0,0.0
user_162,0.0,0.0
user_163,0.0,0.0
user_164,0.0,0.0
user_165,3433.0,1558.0
user_166,0.0,0.0
user_167,0.0,4634.0
user_168,0.0,114796.0
user_169,0.0,2618.0
user_170,0.0,3392.0
user_171,0.0,0.0
user_172,8000.0,139581.0
user_173,0.0,3274.0
user_174,0.0,49481.0
user_175,0.0,0.0
user_176,0.0,0.0
user_177,300.0,83055.0
user_178,0.0,1112.0
user_179,0.0,0.0
user_180,0.0,0.0
user_181,0.0,0.0
user_182,0.0,0.0
user_183,0.0,1364.0
user_184,0.0,26.0
user_185,0.0,11199.0
user_186,0.0,5400.0
user_187,0.0,0.0
user_188,0.0,0.0
user_189,0.0,853.0
user_190,0.0,4514.0
user_191,360.0,90855.0
user_192,0.0,1322.0
user_193,0.0,0.0
user_194,0.0,11287.0
user_195,0.0,5050.0
user_196,0.0,0.0
user_197,1200.0,1088.0
user_198,0.0,0.0
user_199,200.0,3724.0
user_200,40117.0,0.0
user_201,0.0,0.0
user_202,0.0,14930.0
user_203,875.0,4250.0
user_204,4000.0,2171.0
user_205,0.0,0.0
user_206,0.0,33353.0
user_207,0.0,0.0
user_208,0.0,3446.0
user_209,0.0,13133.0
user_210,2850.0,9714.0
