USER_ID,ITEM_ID,OUTCOME
user_0,item_3,1
user_1,item_1,2
user_2,item_3,1
user_3,item_0,1
user_4,item_3,1
user_5,item_2,2
user_6,item_1,3
user_7,item_1,5
user_8,item_0,2
user_9,item_1,0
user_10,item_1,1
user_11,item_0,1
user_12,item_1,3
user_13,item_1,1
user_14,item_2,2
user_15,item_0,1
user_16,item_2,4
user_17,item_0,7
user_18,item_1,5
user_19,item_3,1
user_20,item_2,1
user_2714,item_0,1
user_22,item_3,2
user_23,item_2,2
user_24,item_1,0
user_25,item_2,1
user_26,item_2,2
user_27,item_2,1
user_28,item_0,3
user_29,item_0,1
user_30,item_1,5
user_31,item_3,0
user_32,item_2,3
user_33,item_0,6
user_34,item_2,3
user_35,item_0,6
user_36,item_0,3
user_37,item_1,1
user_38,item_1,5
user_39,item_0,1
user_40,item_1,0
user_41,item_2,1
user_42,item_2,1
user_43,item_1,2
user_44,item_2,1
user_45,item_2,3
user_46,item_0,1
user_47,item_0,3
user_48,item_0,1
user_49,item_1,0
user_50,item_3,1
user_51,item_1,0
user_52,item_3,1
user_53,item_1,0
user_54,item_0,1
user_55,item_2,2
user_56,item_3,3
user_57,item_0,2
user_58,item_1,4
user_59,item_3,4
user_60,item_3,0
user_61,item_0,1
user_62,item_2,1
user_63,item_0,3
user_64,item_3,1
user_65,item_2,2
user_66,item_1,1
user_67,item_0,1
user_68,item_1,1
user_69,item_2,1
user_70,item_2,0
user_71,item_3,2
user_72,item_3,1
user_73,item_1,2
user_74,item_1,1
user_75,item_2,6
user_76,item_2,4
user_77,item_2,3
user_78,item_3,1
user_79,item_2,3
user_80,item_3,1
user_81,item_1,1
user_82,item_3,1
user_83,item_0,0
user_84,item_1,2
user_85,item_3,0
user_86,item_1,1
user_87,item_3,1
user_88,item_0,0
user_89,item_3,1
user_3598,item_0,1
user_91,item_3,4
user_92,item_0,1
user_93,item_1,0
user_94,item_2,0
user_95,item_1,0
user_96,item_2,2
user_97,item_0,3
user_98,item_0,1
user_99,item_2,2
user_2827,item_3,1
user_101,item_3,1
user_102,item_0,2
user_103,item_3,2
user_104,item_2,7
user_105,item_3,0
user_106,item_2,2
user_107,item_0,2
user_108,item_3,3
user_109,item_1,1
user_110,item_1,1
user_111,item_1,4
user_112,item_3,2
user_113,item_0,1
user_114,item_3,3
user_115,item_1,3
user_116,item_2,1
user_117,item_0,5
user_118,item_3,0
user_119,item_1,1
user_120,item_2,1
user_121,item_2,2
user_2376,item_1,1
user_123,item_1,5
user_124,item_0,1
user_125,item_3,1
user_126,item_0,3
user_127,item_1,3
user_128,item_2,2
user_129,item_2,0
user_130,item_0,1
user_131,item_3,0
user_132,item_3,4
user_133,item_3,2
user_2253,item_1,1
user_135,item_2,0
user_136,item_1,3
user_137,item_2,1
user_138,item_0,1
user_139,item_1,1
user_140,item_0,1
user_141,item_2,3
user_142,item_1,2
user_143,item_1,2
user_144,item_1,1
user_145,item_1,0
user_146,item_3,1
user_147,item_2,2
user_148,item_1,1
user_149,item_1,3
user_150,item_0,1
user_151,item_2,2
user_152,item_2,1
user_153,item_0,1
user_154,item_1,0
user_155,item_0,0
user_156,item_3,0
user_157,item_2,4
user_158,item_1,0
user_159,item_1,1
user_160,item_2,3
user_161,item_2,3
user_162,item_0,1
user_163,item_1,2
user_164,item_3,0
user_165,item_0,0
user_166,item_1,3
user_167,item_0,1
user_168,item_3,2
user_169,item_1,1
user_170,item_0,2
user_171,item_3,0
user_172,item_2,2
user_173,item_3,1
user_174,item_3,2
user_175,item_2,1
user_176,item_1,5
user_177,item_3,1
user_178,item_1,0
user_179,item_0,0
user_180,item_1,3
user_2606,item_2,1
user_182,item_2,3
user_183,item_2,5
user_184,item_2,2
user_185,item_1,1
user_4245,item_1,1
user_187,item_2,4
user_188,item_2,1
user_2935,item_3,3
user_190,item_3,0
user_191,item_3,2
user_192,item_0,1
user_193,item_1,3
user_194,item_0,1
user_195,item_3,3
user_196,item_0,1
user_197,item_2,4
user_198,item_2,1
user_199,item_2,3
user_200,item_1,1
user_201,item_0,1
user_202,item_1,2
user_203,item_1,2
user_4101,item_0,1
user_205,item_1,8
user_206,item_0,1
user_207,item_2,3
user_208,item_1,1
user_209,item_2,0
user_210,item_1,2
user_211,item_2,4
user_212,item_3,2
user_213,item_1,3
user_214,item_0,6
user_215,item_1,3
user_216,item_1,0
user_217,item_0,0
user_218,item_3,0
user_219,item_0,2
user_220,item_3,1
user_221,item_0,1
user_222,item_1,6
user_4815,item_0,0
user_224,item_3,5
user_225,item_2,0
user_226,item_1,2
user_227,item_3,0
user_228,item_0,2
user_229,item_3,6
user_230,item_2,4
user_231,item_1,2
user_232,item_0,1
user_233,item_2,2
user_234,item_3,2
user_235,item_3,5
user_236,item_2,0
user_237,item_2,0
user_238,item_2,4
user_239,item_3,1
user_240,item_3,1
user_241,item_3,1
user_242,item_3,8
user_243,item_1,7
user_244,item_1,1
user_245,item_0,1
user_246,item_1,6
user_247,item_1,0
user_248,item_0,1
user_249,item_2,4
user_250,item_3,1
user_1846,item_0,2
user_252,item_1,6
user_253,item_2,0
user_254,item_0,2
user_255,item_2,2
user_256,item_0,0
user_257,item_3,1
user_258,item_3,3
user_259,item_1,2
user_260,item_2,2
user_261,item_1,4
user_262,item_0,3
user_754,item_1,1
user_264,item_0,1
user_265,item_1,0
user_266,item_1,1
user_267,item_3,2
user_268,item_1,0
user_269,item_3,1
user_270,item_1,0
user_271,item_3,1
user_272,item_1,0
user_273,item_1,1
user_274,item_1,0
user_275,item_2,1
user_276,item_3,0
user_277,item_3,1
user_278,item_3,1
user_279,item_0,2
user_280,item_2,3
user_281,item_1,0
user_282,item_2,3
user_283,item_0,0
user_284,item_1,1
user_285,item_1,1
user_286,item_1,0
user_287,item_0,3
user_288,item_3,0
user_289,item_0,1
user_290,item_1,2
user_291,item_2,0
user_292,item_0,3
user_293,item_2,2
user_294,item_2,7
user_295,item_2,1
user_296,item_2,7
user_297,item_0,2
user_298,item_0,2
user_299,item_0,1
user_300,item_2,5
user_301,item_1,0
user_302,item_0,1
user_303,item_2,6
user_304,item_1,3
user_305,item_0,3
user_306,item_0,1
user_2293,item_3,0
user_308,item_0,1
user_309,item_1,1
user_310,item_3,1
user_311,item_1,0
user_312,item_3,0
user_313,item_1,1
user_2165,item_1,2
user_315,item_1,1
user_316,item_3,3
user_317,item_2,1
user_318,item_2,1
user_319,item_2,1
user_320,item_2,3
user_321,item_2,1
user_322,item_1,0
user_323,item_1,2
user_324,item_0,2
user_325,item_0,1
user_326,item_1,0
user_327,item_1,5
user_328,item_2,1
user_329,item_0,2
user_330,item_3,1
user_1524,item_3,1
user_332,item_2,4
user_333,item_2,2
user_334,item_1,3
user_335,item_3,0
user_336,item_3,1
user_337,item_2,11
user_338,item_0,2
user_4350,item_3,0
user_340,item_3,2
user_341,item_3,1
user_342,item_2,1
user_343,item_2,3
user_344,item_2,2
user_345,item_2,1
user_4353,item_2,1
user_347,item_3,5
user_348,item_2,1
user_349,item_3,1
user_350,item_1,3
user_351,item_3,2
user_352,item_0,3
user_353,item_1,1
user_354,item_2,2
user_3684,item_0,4
user_356,item_2,3
user_357,item_0,1
user_358,item_3,5
user_359,item_0,3
user_360,item_3,5
user_361,item_1,1
user_362,item_3,0
user_363,item_3,2
user_364,item_3,0
user_365,item_1,1
user_366,item_0,0
user_367,item_0,2
user_368,item_2,2
user_369,item_0,2
user_370,item_2,5
user_371,item_1,2
user_372,item_3,1
user_373,item_1,1
user_374,item_1,1
user_375,item_3,0
user_376,item_2,1
user_377,item_3,1
user_4397,item_1,0
user_379,item_1,3
user_1839,item_1,1
user_381,item_3,1
user_382,item_1,0
user_383,item_2,4
user_384,item_3,1
user_385,item_2,0
user_4090,item_3,0
user_387,item_1,1
user_388,item_0,2
user_389,item_1,3
user_390,item_1,2
user_391,item_0,0
user_392,item_3,2
user_393,item_2,2
user_394,item_1,1
user_395,item_3,2
user_396,item_3,1
user_397,item_1,2
user_398,item_3,1
user_399,item_1,1
user_400,item_3,2
user_401,item_0,0
user_402,item_2,7
user_403,item_2,3
user_404,item_1,0
user_405,item_3,1
user_406,item_1,0
user_407,item_2,3
user_408,item_0,1
user_409,item_2,5
user_410,item_0,1
user_411,item_2,2
user_412,item_0,0
user_413,item_3,0
user_414,item_3,1
user_415,item_3,1
user_416,item_0,3
user_417,item_0,0
user_3555,item_1,2
user_419,item_2,3
user_420,item_2,4
user_421,item_2,1
user_422,item_1,1
user_423,item_3,0
user_424,item_2,0
user_425,item_2,1
user_426,item_1,0
user_427,item_1,2
user_428,item_1,3
user_429,item_3,1
user_430,item_0,5
user_431,item_1,2
user_432,item_3,2
user_4440,item_1,0
user_2914,item_2,0
user_2081,item_3,1
user_436,item_1,3
user_437,item_0,2
user_438,item_3,2
user_4219,item_3,2
user_440,item_1,0
user_441,item_2,1
user_442,item_0,6
user_443,item_3,4
user_444,item_0,6
user_445,item_3,2
user_446,item_0,0
user_447,item_3,2
user_448,item_0,3
user_449,item_3,3
user_450,item_2,5
user_451,item_2,4
user_452,item_1,0
user_453,item_2,1
user_454,item_3,2
user_455,item_0,1
user_456,item_1,6
user_457,item_3,2
user_458,item_0,4
user_459,item_3,1
user_460,item_1,2
user_461,item_0,3
user_462,item_3,0
user_463,item_0,1
user_464,item_3,6
user_465,item_2,2
user_466,item_1,4
user_467,item_0,2
user_468,item_2,1
user_469,item_1,0
user_470,item_3,0
user_471,item_3,0
user_472,item_3,4
user_473,item_2,1
user_474,item_3,3
user_475,item_0,2
user_476,item_2,2
user_4519,item_1,3
user_478,item_2,1
user_479,item_2,5
user_480,item_1,2
user_481,item_2,2
user_482,item_1,1
user_483,item_0,1
user_484,item_0,6
user_485,item_2,3
user_486,item_2,1
user_487,item_0,4
user_488,item_3,6
user_2874,item_0,0
user_490,item_0,9
user_491,item_0,1
user_3850,item_1,0
user_3623,item_3,1
user_494,item_1,1
user_1524,item_3,1
user_496,item_0,2
user_497,item_2,1
user_498,item_2,4
user_499,item_2,0
user_500,item_1,0
user_501,item_3,0
user_502,item_3,1
user_503,item_0,3
user_504,item_0,2
user_505,item_2,1
user_506,item_0,3
user_507,item_2,2
user_4251,item_0,0
user_509,item_0,1
user_510,item_3,0
user_511,item_0,3
user_512,item_2,5
user_513,item_1,2
user_514,item_2,1
user_515,item_3,1
user_4904,item_1,0
user_517,item_3,0
user_518,item_3,0
user_519,item_2,4
user_520,item_0,2
user_2931,item_1,1
user_522,item_3,0
user_523,item_2,3
user_524,item_0,0
user_2259,item_3,3
user_3024,item_2,1
user_527,item_0,2
user_528,item_2,2
user_529,item_1,3
user_530,item_2,1
user_4398,item_1,1
user_532,item_0,1
user_533,item_2,1
user_534,item_1,1
user_547,item_0,1
user_536,item_3,0
user_537,item_2,0
user_538,item_2,1
user_539,item_1,2
user_540,item_2,0
user_541,item_1,1
user_542,item_2,1
user_2802,item_2,1
user_544,item_2,2
user_545,item_0,1
user_546,item_2,1
user_547,item_0,0
user_548,item_2,3
user_549,item_3,1
user_550,item_1,0
user_3886,item_1,1
user_4329,item_1,0
user_553,item_3,1
user_554,item_3,1
user_555,item_3,2
user_3818,item_1,1
user_557,item_0,2
user_558,item_0,4
user_559,item_2,0
user_560,item_2,1
user_561,item_2,1
user_562,item_2,2
user_563,item_0,1
user_564,item_2,5
user_565,item_2,1
user_566,item_1,0
user_567,item_3,6
user_568,item_1,0
user_569,item_1,3
user_570,item_1,2
user_571,item_3,1
user_572,item_0,1
user_573,item_1,1
user_574,item_2,0
user_575,item_1,0
user_3900,item_2,0
user_577,item_2,1
user_578,item_3,1
user_579,item_1,5
user_580,item_2,2
user_581,item_0,3
user_582,item_0,3
user_583,item_2,2
user_584,item_2,2
user_585,item_2,1
user_586,item_0,1
user_587,item_2,2
user_588,item_3,4
user_1394,item_0,1
user_590,item_2,2
user_591,item_3,0
user_592,item_0,0
user_593,item_3,0
user_594,item_3,3
user_595,item_2,2
user_596,item_0,5
user_597,item_3,2
user_2714,item_0,0
user_4423,item_3,1
user_600,item_0,0
user_601,item_0,1
user_602,item_0,2
user_603,item_3,2
user_604,item_1,2
user_605,item_0,1
user_606,item_2,1
user_607,item_3,1
user_608,item_3,0
user_609,item_3,1
user_610,item_2,2
user_611,item_0,3
user_612,item_3,2
user_613,item_3,2
user_614,item_0,1
user_615,item_2,4
user_616,item_3,1
user_617,item_2,1
user_618,item_3,2
user_619,item_0,3
user_620,item_0,2
user_621,item_3,1
user_622,item_2,3
user_623,item_1,1
user_624,item_0,3
user_625,item_0,1
user_626,item_0,2
user_627,item_2,5
user_628,item_0,0
user_629,item_0,1
user_630,item_2,2
user_631,item_1,4
user_632,item_2,1
user_633,item_3,1
user_634,item_2,3
user_635,item_3,1
user_636,item_1,2
user_637,item_2,2
user_638,item_2,2
user_639,item_0,7
user_640,item_3,0
user_641,item_0,2
user_642,item_0,3
user_643,item_2,1
user_644,item_2,3
user_645,item_3,6
user_646,item_3,1
user_647,item_2,4
user_648,item_0,0
user_649,item_3,1
user_650,item_0,1
user_651,item_2,2
user_652,item_2,8
user_653,item_1,2
user_654,item_1,1
user_655,item_0,3
user_656,item_1,4
user_657,item_1,5
user_658,item_0,0
user_659,item_1,3
user_660,item_2,1
user_661,item_2,1
user_2993,item_1,1
user_663,item_2,2
user_664,item_1,5
user_665,item_0,1
user_666,item_1,1
user_667,item_3,2
user_668,item_1,1
user_669,item_2,3
user_670,item_1,2
user_671,item_3,0
user_672,item_3,1
user_673,item_2,3
user_674,item_3,3
user_675,item_2,7
user_676,item_3,1
user_677,item_0,0
user_678,item_0,0
user_679,item_0,3
user_680,item_0,1
user_681,item_3,1
user_4129,item_3,1
user_683,item_0,3
user_684,item_0,0
user_685,item_2,0
user_686,item_1,0
user_687,item_1,0
user_688,item_2,1
user_689,item_1,1
user_690,item_2,2
user_691,item_3,1
user_692,item_2,3
user_693,item_2,1
user_694,item_3,3
user_695,item_0,8
user_696,item_2,0
user_697,item_1,0
user_698,item_0,1
user_699,item_1,2
user_700,item_2,6
user_701,item_1,4
user_702,item_3,1
user_703,item_3,2
user_704,item_2,1
user_705,item_1,0
user_4440,item_1,1
user_4884,item_0,0
user_708,item_0,2
user_709,item_2,0
user_710,item_2,3
user_711,item_1,2
user_712,item_2,3
user_713,item_3,8
user_714,item_3,0
user_715,item_3,2
user_716,item_0,1
user_717,item_1,1
user_718,item_2,1
user_719,item_3,2
user_720,item_2,0
user_721,item_1,1
user_722,item_2,8
user_723,item_0,1
user_724,item_1,1
user_725,item_2,0
user_726,item_1,3
user_727,item_0,1
user_728,item_0,1
user_729,item_2,0
user_730,item_2,3
user_731,item_3,3
user_732,item_0,2
user_733,item_3,1
user_734,item_3,1
user_735,item_0,1
user_736,item_1,1
user_737,item_3,0
user_1527,item_1,1
user_739,item_2,3
user_740,item_3,1
user_741,item_3,2
user_742,item_0,2
user_743,item_2,3
user_744,item_3,0
user_745,item_2,2
user_746,item_3,1
user_747,item_0,3
user_748,item_2,1
user_4519,item_1,1
user_750,item_1,4
user_751,item_0,1
user_752,item_1,0
user_753,item_1,1
user_754,item_1,1
