USER_ID,feat1,feat2,feat3,onehot1,onehot2,pca_0,pca_1,pca_2
user_0,23.0,4,2025.28,0,1,-0.0089566744225457,-0.0084735988695775,-0.0098926190404259
user_1,59.0,1,2143.3,1,0,-0.005265017931626,-0.0153984155426852,-0.0201356416210628
user_2,32.0,4,317.53,1,0,-0.0346639630029758,-0.0425550635008467,-0.0729990159239646
user_3,26.0,2,928.61,0,1,-0.0878111663434174,-0.1483133393119886,0.8095117208267392
user_4,48.0,3,593.0,0,1,-0.0077625718549493,-0.0073005158789647,-0.0084146217129881
user_5,19.0,1,215.4,0,1,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_6,36.0,1,7499.27,0,1,-0.0099429590499682,-0.0094857014729951,-0.0182380115396929
user_7,35.0,2,264.77,1,0,-0.0105784471602583,-0.0195911102927138,-0.0254228584729996
user_8,21.0,2,511.37,1,0,0.9517677023948826,0.1469317379714371,0.0742968144818524
user_9,32.0,1,3439.36,1,0,-0.0081399233471,-0.0076702167052186,-0.0088757634038523
user_10,24.0,1,12563.0,1,0,-0.0387101084830282,-0.0571969806024211,-0.1189870565517403
user_11,69.0,1,0.0,1,0,-0.0110412228001176,-0.0105134672199618,-0.0125342715018259
user_12,18.0,0,0.0,0,1,-0.0404245471631254,-0.0340881597333485,-0.0534362756543944
user_13,30.0,2,22058.84,0,1,-0.0109674361701455,-0.0105663526564223,-0.012107148043324
user_14,16.0,1,49.0,1,0,-0.0086733185509539,-0.0197995838860359,-0.0179386126902791
user_15,27.0,2,3653.0,0,1,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_16,34.0,1,3662.3,0,1,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_17,27.0,1,1427.79,1,0,-0.0379263897077516,-0.0237937058519379,-0.0372667748627681
user_18,20.0,1,781.16,1,0,-0.0167647342194453,-0.0169050232770802,-0.0215527488741415
user_19,52.0,1,2556.25,1,0,-0.0114727747674654,-0.0103172157046422,-0.0173805138587653
user_20,43.0,2,12541.32,1,0,-0.0093843623256394,-0.0089005060659201,-0.0104213697715555
user_2714,58.0,3,21056.97,0,1,-0.0086733185509539,-0.0197995838860359,-0.0179386126902791
user_22,20.0,3,39.87,1,0,-0.0093505269858982,-0.0088826528794212,-0.0103460598444965
user_23,47.0,2,239517.65,0,1,-0.2327945103433476,0.9080443945905624,0.1172216103938166
user_24,20.0,1,0.0,0,1,-0.0167647342194453,-0.0169050232770802,-0.0215527488741415
user_25,58.0,1,2453.0,1,0,-0.0118307136655583,-0.0140374616994449,-0.0151403630572832
user_26,46.0,1,4042.0,1,0,-0.0079311600524753,-0.0074656824879719,-0.0086199932900905
user_27,63.0,1,3418.32,0,1,0.9517677023948826,0.1469317379714371,0.0742968144818524
user_28,41.0,2,24919.5,1,0,-0.0114063668448765,-0.0110580436371568,-0.0132073327007175
user_29,55.0,1,6620.04,1,0,-0.0102284170793531,-0.0097257664646731,-0.0111693331518933
user_30,40.0,0,0.0,1,0,-0.0097553598425298,-0.0093053908178812,-0.0110303211208528
user_31,32.0,2,4089.62,0,1,-0.0348486518490824,-0.0478238556854101,-0.0813983891132997
user_32,18.0,3,222.09,1,0,-0.0086733185509539,-0.0197995838860359,-0.0179386126902791
user_33,24.0,1,1894.33,0,1,-0.2327945103433476,0.9080443945905624,0.1172216103938166
user_34,22.0,2,1239.5,1,0,-0.0102284170793531,-0.0097257664646731,-0.0111693331518933
user_35,54.0,2,3458.69,0,1,-0.0114727747674654,-0.0103172157046422,-0.0173805138587653
user_36,21.0,1,1555.31,1,0,-0.0404245471631254,-0.0340881597333485,-0.0534362756543944
user_37,18.0,3,4.33,0,1,-0.0122661810319759,-0.0186017226904222,-0.0109915164365222
user_38,71.0,0,0.0,0,1,-0.0085536708500466,-0.0080777082863008,-0.0093925348233872
user_39,73.0,1,383.41,0,1,0.9517677023948826,0.1469317379714371,0.0742968144818524
user_40,26.0,1,3020.83,0,1,-0.0404245471631254,-0.0340881597333485,-0.0534362756543944
user_41,27.0,1,3411.96,0,1,-0.0175766826642066,-0.0179841532730525,-0.016038634726247
user_42,30.0,2,600.2,1,0,-0.0346639630029758,-0.0425550635008467,-0.0729990159239646
user_43,44.0,1,2457.42,0,1,-0.005265017931626,-0.0153984155426852,-0.0201356416210628
user_44,26.0,3,411.33,0,1,-0.0878111663434174,-0.1483133393119886,0.8095117208267392
user_45,37.0,2,0.0,1,0,-0.0878111663434174,-0.1483133393119886,0.8095117208267392
user_46,39.0,5,650.72,1,0,-0.0601265350219508,-0.0967780099591847,-0.4867987843722361
user_47,32.0,1,5475.7,1,0,-0.0102253721111038,-0.0096713378674832,-0.0119876955579217
user_48,19.0,2,1015.72,1,0,-0.0108351820454095,-0.0105647140464813,-0.0148174985505997
user_49,21.0,1,1527.51,1,0,-0.0102253721111038,-0.0096713378674832,-0.0119876955579217
user_50,22.0,3,186.0,0,1,-0.0092287310245314,-0.0087368652151751,-0.010250728981504
user_51,46.0,2,8930.59,1,0,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_52,31.0,1,2072.22,1,0,-0.0071986852690712,-0.0067504993452363,-0.0077361841442298
user_53,26.0,3,1625.63,1,0,-0.0091819743011807,-0.0086869216918021,-0.010174374175255
user_54,61.0,2,15709.53,0,1,-0.2327945103433476,0.9080443945905624,0.1172216103938166
user_55,24.0,2,360.78,1,0,-0.0458049384852299,-0.0340192276700686,-0.0604135280731882
user_56,53.0,1,394.64,0,1,-0.1158262210214182,-0.3260365880861497,0.214398888633284
user_57,17.0,1,23.84,0,1,-0.0073638046612487,-0.0069112685897419,-0.007933562897819
user_58,37.0,1,6106.77,1,0,-0.0346639630029758,-0.0425550635008467,-0.0729990159239646
user_59,28.0,1,41.0,1,0,-0.0081399233471,-0.0076702167052186,-0.0088757634038523
user_60,22.0,3,2087.17,1,0,-0.005265017931626,-0.0153984155426852,-0.0201356416210628
user_61,36.0,2,3713.47,1,0,-0.0878111663434174,-0.1483133393119886,0.8095117208267392
user_62,20.0,2,2784.73,1,0,-0.0080906029944173,-0.007622157349417,-0.0088159495204993
user_63,22.0,1,20.43,0,1,-0.0346639630029758,-0.0425550635008467,-0.0729990159239646
user_64,30.0,3,15205.79,0,1,-0.0084479178743021,-0.0079706617595626,-0.0092561845507921
user_65,33.0,1,4009.47,1,0,-0.0116972338874651,-0.0108467006663892,-0.0133073840709307
user_66,20.0,0,0.0,0,1,-0.0115013497161284,-0.0113917786949927,-0.0128558522620594
user_67,44.0,2,6137.12,1,0,-0.0080423014459106,-0.007574446790343,-0.0087567909818463
user_68,23.0,1,613.14,1,0,-0.0323372491929997,-0.0247670891695206,-0.0308421181722808
user_69,23.0,3,1773.1,0,1,-0.0116972338874651,-0.0108467006663892,-0.0133073840709307
user_70,65.0,1,0.0,0,1,-0.0458049384852299,-0.0340192276700686,-0.0604135280731882
user_71,28.0,2,508.53,1,0,-0.0103523456949801,-0.0098913867432161,-0.0142153327193676
user_72,27.0,1,5.17,1,0,-0.0099429590499682,-0.0094857014729951,-0.0182380115396929
user_73,25.0,1,11339.9,0,1,-0.0118307136655583,-0.0140374616994449,-0.0151403630572832
user_74,62.0,1,10045.47,0,1,-0.0348486518490824,-0.0478238556854101,-0.0813983891132997
user_75,67.0,1,39.38,0,1,-0.0258903659074592,-0.018640717609547,-0.0240270493883347
user_76,48.0,1,790.65,1,0,-0.0077178181441925,-0.0072568048860264,-0.0083603156911369
user_77,42.0,2,13677.9,1,0,-0.0103523456949801,-0.0098913867432161,-0.0142153327193676
user_78,37.0,3,5298.18,0,1,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_79,18.0,1,56.19,1,0,-0.0112894727577268,-0.0104233732514099,-0.0127717040978554
user_80,47.0,1,6255.0,0,1,-0.0164352517593696,-0.0148182212635881,-0.012404819093614
user_81,19.0,1,1038.76,1,0,-0.0109696425553003,-0.0100493932486973,-0.0128669460992046
user_82,20.0,1,409.16,0,1,-0.0258903659074592,-0.018640717609547,-0.0240270493883347
user_83,23.0,2,875.72,0,1,-0.0379263897077516,-0.0237937058519379,-0.0372667748627681
user_84,26.0,1,7102.47,1,0,-0.0114727747674654,-0.0103172157046422,-0.0173805138587653
user_85,18.0,2,332.61,1,0,-0.2327945103433476,0.9080443945905624,0.1172216103938166
user_86,28.0,1,3028.46,0,1,-0.0273493137478794,-0.0220210117251965,-0.026824948167886
user_87,47.0,3,2075.65,1,0,-0.011955060458026,-0.0100262116542784,-0.0147846492579703
user_88,27.0,1,2210.67,1,0,-0.0185792983112114,-0.0170950365960119,-0.0181182675038179
user_89,27.0,1,3886.89,0,1,-0.011955060458026,-0.0100262116542784,-0.0147846492579703
user_3598,21.0,1,71.43,0,1,-0.0109674361701455,-0.0105663526564223,-0.012107148043324
user_91,20.0,1,231.23,1,0,-0.0116972338874651,-0.0108467006663892,-0.0133073840709307
user_92,25.0,1,9595.18,1,0,-0.0105784471602583,-0.0195911102927138,-0.0254228584729996
user_93,50.0,1,6880.36,0,1,-0.0072704196276427,-0.0068203127240989,-0.0078218013700334
user_94,18.0,1,85.0,1,0,-0.0323372491929997,-0.0247670891695206,-0.0308421181722808
user_95,37.0,1,24230.54,0,1,-0.0323372491929997,-0.0247670891695206,-0.0308421181722808
user_96,23.0,1,2595.65,1,0,-0.0323372491929997,-0.0247670891695206,-0.0308421181722808
user_97,24.0,1,4280.54,1,0,-0.0109674361701455,-0.0105663526564223,-0.012107148043324
user_98,59.0,3,79311.28,0,1,-0.0258903659074592,-0.018640717609547,-0.0240270493883347
user_99,38.0,1,8459.18,0,1,-0.0109674361701455,-0.0105663526564223,-0.012107148043324
user_2827,78.0,0,0.0,0,1,-0.0348486518490824,-0.0478238556854101,-0.0813983891132997
user_101,24.0,1,172.48,0,1,-0.0098713109392396,-0.009516561950906,-0.011186468353045
