USER_ID,feat1,feat2,feat3,feat4,feat5,ITEM_ID
user_0,3,5,7,6,2,item_2
user_1,9,3,8,3,5,item_2
user_2,2,2,6,2,5,item_2
user_3,8,10,4,5,9,item_0
user_4,1,6,5,5,8,item_2
user_5,5,1,10,1,8,item_0
user_6,9,8,8,10,7,item_3
user_7,8,10,3,10,9,item_0
user_8,10,5,5,6,1,item_0
user_9,6,4,5,7,3,item_1
user_10,1,8,3,5,1,item_0
user_11,5,10,7,6,1,item_0
user_12,4,3,8,5,2,item_2
user_13,2,3,7,7,10,item_2
user_14,7,2,5,2,6,item_1
user_15,2,8,3,3,9,item_0
user_16,10,8,7,6,5,item_0
user_17,3,5,5,4,6,item_0
user_18,8,4,3,7,6,item_0
user_19,6,3,1,4,4,item_0
user_20,7,3,1,2,8,item_2
user_21,8,5,2,5,5,item_0
user_22,7,9,4,5,10,item_0
user_23,2,5,5,9,9,item_2
user_24,9,5,1,8,7,item_0
user_25,4,7,9,8,5,item_2
user_26,6,5,1,2,8,item_0
user_27,4,3,9,6,2,item_2
user_28,1,6,3,10,8,item_0
user_29,6,10,7,6,7,item_2
user_30,1,9,8,6,3,item_0
user_31,1,1,8,2,10,item_2
user_32,7,8,2,8,5,item_0
user_33,6,2,7,6,3,item_0
user_34,9,10,1,5,5,item_0
user_35,5,3,1,10,4,item_0
user_36,7,4,6,8,2,item_0
user_37,4,9,9,10,1,item_0
user_38,2,5,8,5,10,item_2
user_39,10,4,10,9,5,item_2
user_40,3,5,7,10,1,item_0
user_41,4,5,3,5,1,item_2
user_42,6,6,9,9,8,item_2
user_43,4,6,7,3,6,item_0
user_44,6,4,5,10,2,item_2
user_45,1,10,3,8,10,item_0
user_46,5,10,1,10,5,item_0
user_47,8,6,6,8,8,item_0
user_48,5,2,7,10,9,item_0
user_49,7,8,5,10,10,item_0
user_50,7,2,6,6,2,item_2
user_51,9,2,1,10,10,item_2
user_52,5,5,7,5,5,item_3
user_53,2,6,1,3,10,item_2
user_54,1,8,9,8,6,item_0
user_55,5,8,4,9,6,item_0
user_56,5,9,3,8,5,item_0
user_57,5,9,4,1,10,item_2
user_58,10,10,7,8,2,item_2
user_59,7,5,5,7,2,item_0
user_60,7,3,2,5,3,item_0
user_61,10,3,5,5,5,item_2
user_62,9,4,8,7,6,item_3
user_63,1,4,8,10,3,item_3
user_64,7,2,5,8,10,item_0
user_65,5,5,3,6,5,item_0
user_66,9,7,6,7,1,item_2
user_67,5,5,8,4,7,item_0
user_68,10,4,10,7,1,item_2
user_69,7,6,8,8,9,item_3
user_70,6,2,7,1,6,item_0
user_71,3,9,5,4,8,item_2
user_72,4,2,7,2,9,item_0
user_73,4,9,9,1,3,item_0
user_74,8,10,6,1,7,item_2
user_75,10,5,6,1,9,item_2
user_76,5,2,7,10,8,item_0
user_77,3,4,7,7,7,item_3
user_78,4,2,5,6,1,item_0
user_79,1,9,3,7,7,item_0
user_80,3,7,8,1,7,item_2
user_81,9,7,3,5,9,item_0
user_82,7,3,6,10,6,item_0
user_83,2,3,5,2,2,item_2
user_84,2,10,2,3,8,item_0
user_85,9,3,8,7,10,item_0
user_86,3,7,6,2,5,item_0
user_87,3,6,8,10,3,item_0
user_88,8,5,1,2,8,item_0
user_89,6,9,9,7,1,item_2
user_90,1,2,6,6,3,item_0
user_91,2,7,4,1,9,item_0
user_92,10,10,6,1,1,item_0
user_93,7,9,7,6,8,item_2
user_94,2,8,9,9,8,item_0
user_95,3,10,10,2,6,item_2
user_96,5,3,4,6,3,item_0
user_97,6,2,3,10,6,item_2
user_98,4,5,7,7,4,item_2
user_99,5,8,9,2,9,item_0
user_100,10,3,1,3,9,item_0
user_101,1,2,2,8,9,item_0
user_102,5,10,4,5,9,item_2
user_103,7,10,4,6,2,item_0
user_104,10,7,10,2,1,item_0
user_105,6,7,7,10,1,item_0
user_106,5,6,4,3,9,item_2
user_107,8,2,2,2,8,item_0
user_108,5,1,6,6,4,item_3
user_109,6,8,2,2,8,item_0
user_110,5,1,6,5,1,item_0
user_111,2,1,2,3,6,item_0
user_112,7,5,2,5,9,item_0
user_113,9,3,10,8,2,item_0
user_114,7,9,6,4,5,item_2
user_115,5,2,1,9,2,item_0
user_116,4,7,6,8,6,item_0
user_117,6,1,6,9,9,item_3
user_118,9,6,4,10,7,item_0
user_119,7,7,1,9,8,item_2
user_120,7,5,1,5,2,item_0
user_121,2,5,10,6,6,item_2
user_122,1,5,3,8,1,item_0
user_123,4,2,8,5,4,item_0
user_124,3,3,7,1,5,item_2
user_125,8,4,4,2,8,item_2
user_126,7,6,2,4,8,item_0
user_127,4,2,7,10,5,item_0
user_128,10,6,9,7,3,item_0
user_129,8,7,1,4,2,item_2
user_130,7,9,1,8,6,item_2
user_131,4,7,4,3,9,item_0
user_132,2,10,7,10,5,item_2
user_133,7,9,1,3,4,item_0
user_134,10,2,9,7,2,item_0
user_135,6,10,3,1,10,item_2
user_136,2,9,10,5,1,item_0
user_137,6,9,6,5,9,item_2
user_138,6,10,7,2,2,item_0
user_139,6,9,10,2,3,item_0
user_140,9,2,5,4,7,item_2
user_141,5,8,6,5,2,item_2
user_142,2,5,6,1,1,item_2
user_143,3,3,2,4,4,item_0
user_144,2,2,2,4,6,item_2
user_145,1,2,2,8,6,item_0
user_146,5,1,1,4,6,item_0
user_147,4,1,5,2,10,item_0
user_148,1,9,5,4,3,item_2
user_149,7,2,1,10,9,item_1
user_150,4,2,9,1,6,item_2
user_151,9,8,4,4,10,item_2
user_152,4,4,1,7,2,item_0
user_153,4,9,8,7,10,item_2
user_154,2,4,7,1,2,item_2
user_155,1,7,1,10,4,item_2
user_156,3,4,7,4,10,item_0
user_157,2,7,4,10,1,item_0
user_158,10,5,1,2,3,item_0
user_159,4,3,8,8,5,item_2
user_160,6,8,3,5,10,item_2
user_161,9,8,8,5,1,item_2
user_162,4,8,9,10,10,item_0
user_163,1,4,9,2,7,item_0
user_164,2,5,5,4,2,item_3
user_165,1,8,9,7,5,item_2
user_166,3,5,6,9,8,item_0
user_167,4,3,4,8,1,item_0
user_168,10,5,3,2,1,item_0
user_169,10,7,10,8,3,item_2
user_170,7,1,5,9,6,item_0
user_171,6,7,1,10,3,item_2
user_172,7,2,4,5,6,item_0
user_173,3,7,6,5,5,item_0
user_174,9,7,8,1,5,item_0
user_175,6,8,8,6,1,item_0
user_176,6,3,9,2,8,item_0
user_177,4,7,5,4,2,item_2
user_178,4,4,10,9,9,item_2
user_179,7,2,8,3,6,item_0
user_180,10,4,6,9,9,item_0
user_181,5,3,9,10,8,item_2
user_182,8,9,4,1,10,item_0
user_183,1,7,8,5,7,item_0
user_184,7,2,5,5,7,item_0
user_185,6,3,8,10,9,item_1
user_186,10,1,10,8,4,item_0
user_187,4,9,2,1,6,item_0
user_188,2,5,8,9,6,item_2
user_189,1,1,3,10,1,item_0
user_190,4,6,9,2,9,item_2
user_191,7,2,4,2,5,item_2
user_192,3,8,6,9,1,item_2
user_193,2,7,8,5,6,item_2
user_194,10,10,10,5,10,item_2
user_195,7,1,8,7,6,item_0
user_196,6,7,4,9,4,item_0
user_197,9,8,2,3,1,item_0
user_198,8,3,3,9,7,item_0
user_199,9,1,8,10,7,item_0
user_200,4,9,1,8,8,item_2
user_201,8,9,9,2,4,item_2
user_202,3,3,8,8,4,item_0
user_203,6,7,3,10,2,item_1
user_204,5,1,2,1,7,item_0
user_205,1,10,3,1,7,item_0
user_206,7,9,10,10,5,item_2
user_207,10,9,5,2,3,item_2
user_208,7,3,4,8,10,item_2
user_209,8,8,10,4,10,item_2
user_210,7,9,8,10,6,item_2
user_211,2,10,1,1,6,item_0
user_212,8,1,3,8,1,item_0
user_213,1,3,5,5,2,item_0
user_214,6,3,3,10,10,item_2
user_215,5,4,6,10,2,item_0
user_216,4,6,7,5,10,item_2
user_217,4,9,2,2,6,item_2
user_218,8,8,10,10,10,item_0
user_219,6,1,8,10,5,item_2
user_220,1,2,4,7,1,item_2
user_221,5,9,7,4,5,item_2
user_222,7,1,1,3,6,item_0
user_223,7,2,8,3,3,item_3
user_224,1,9,3,6,1,item_0
user_225,4,10,6,1,6,item_2
user_226,9,10,3,2,10,item_1
user_227,8,4,5,1,4,item_0
