USER_ID,ITEM_ID,OUTCOME,OUTCOME_1
user_694,item_0,0,1.5
user_481,item_1,0,1.5
user_687,item_0,0,1.5
user_721,item_2,0,1.5
user_834,item_2,1,1.5
user_782,item_3,0,1.5
user_445,item_3,1,1.5
user_864,item_0,1,1.5
user_973,item_3,0,1.5
user_737,item_1,1,1.5
user_647,item_4,0,1.5
user_690,item_3,0,1.5
user_863,item_1,1,1.5
user_355,item_3,1,1.5
user_876,item_0,1,1.5
user_123,item_3,0,1.5
user_198,item_3,0,1.5
user_447,item_2,1,1.5
user_365,item_2,1,1.5
user_108,item_3,0,1.5
user_283,item_1,0,1.5
user_159,item_0,1,1.5
user_32,item_3,1,1.5
user_977,item_3,1,1.5
user_928,item_2,1,1.5
user_735,item_1,0,1.5
user_528,item_3,0,1.5
user_608,item_0,1,1.5
user_485,item_2,0,1.5
user_208,item_0,0,1.5
user_944,item_3,1,1.5
user_319,item_5,1,1.5
user_77,item_3,1,1.5
user_0,item_3,0,1.5
user_382,item_0,0,1.5
user_393,item_3,1,1.5
user_206,item_4,0,1.5
user_971,item_0,0,1.5
user_256,item_3,1,1.5
user_366,item_0,0,1.5
user_963,item_5,0,1.5
user_169,item_3,1,1.5
user_632,item_1,1,1.5
user_788,item_0,0,1.5
user_702,item_1,1,1.5
user_597,item_1,1,1.5
user_739,item_0,1,1.5
user_158,item_0,1,1.5
user_842,item_3,1,1.5
user_725,item_1,1,1.5
user_504,item_5,0,1.5
user_619,item_3,1,1.5
user_602,item_3,0,1.5
user_618,item_3,0,1.5
user_856,item_6,0,1.5
user_815,item_3,1,1.5
user_916,item_0,1,1.5
user_141,item_1,0,1.5
user_368,item_0,0,1.5
user_184,item_3,0,1.5
user_326,item_5,1,1.5
user_52,item_0,1,1.5
user_216,item_3,1,1.5
user_882,item_5,1,1.5
user_991,item_3,0,1.5
user_560,item_1,1,1.5
user_909,item_7,1,1.5
user_910,item_7,0,1.5
user_748,item_3,0,1.5
user_961,item_2,1,1.5
user_666,item_5,1,1.5
user_73,item_4,0,1.5
user_625,item_3,0,1.5
user_926,item_0,1,1.5
user_822,item_5,0,1.5
user_474,item_3,1,1.5
user_411,item_0,1,1.5
user_641,item_1,0,1.5
user_286,item_8,1,1.5
user_860,item_0,1,1.5
user_758,item_3,1,1.5
user_859,item_1,1,1.5
user_3,item_2,1,1.5
user_895,item_2,0,1.5
user_81,item_3,0,1.5
user_270,item_3,1,1.5
user_358,item_3,0,1.5
user_10,item_9,1,1.5
user_11,item_9,1,1.5
user_392,item_1,1,1.5
user_596,item_8,1,1.5
user_374,item_1,1,1.5
user_848,item_0,0,1.5
user_835,item_3,0,1.5
user_439,item_0,1,1.5
user_981,item_3,1,1.5
user_594,item_3,0,1.5
user_770,item_2,1,1.5
user_434,item_0,1,1.5
user_660,item_3,0,1.5
user_426,item_3,1,1.5
user_934,item_3,1,1.5
user_324,item_0,1,1.5
user_204,item_6,0,1.5
user_600,item_1,0,1.5
user_902,item_1,1,1.5
user_359,item_3,1,1.5
user_460,item_0,0,1.5
user_265,item_1,1,1.5
user_16,item_2,1,1.5
user_95,item_0,0,1.5
user_517,item_4,0,1.5
user_846,item_6,0,1.5
user_71,item_6,0,1.5
user_87,item_0,1,1.5
user_861,item_0,0,1.5
user_621,item_0,1,1.5
user_813,item_5,0,1.5
user_1001,item_0,1,1.5
user_25,item_5,1,1.5
user_949,item_3,1,1.5
user_579,item_0,1,1.5
user_34,item_1,1,1.5
user_847,item_0,1,1.5
user_405,item_1,1,1.5
user_450,item_0,1,1.5
user_827,item_5,0,1.5
user_435,item_0,1,1.5
user_800,item_3,0,1.5
user_112,item_3,1,1.5
user_15,item_0,0,1.5
user_370,item_3,1,1.5
user_231,item_0,0,1.5
user_124,item_1,0,1.5
user_386,item_0,0,1.5
user_91,item_0,1,1.5
user_253,item_1,0,1.5
user_521,item_8,0,1.5
user_591,item_5,1,1.5
user_126,item_0,1,1.5
user_329,item_3,0,1.5
user_278,item_2,1,1.5
user_780,item_8,1,1.5
user_572,item_0,0,1.5
user_795,item_0,0,1.5
user_755,item_3,1,1.5
user_263,item_1,0,1.5
user_696,item_3,0,1.5
user_573,item_3,0,1.5
user_307,item_0,1,1.5
user_713,item_0,0,1.5
user_96,item_0,1,1.5
user_639,item_3,1,1.5
user_471,item_0,0,1.5
user_361,item_0,1,1.5
user_985,item_3,1,1.5
user_777,item_3,0,1.5
user_487,item_2,0,1.5
user_678,item_3,0,1.5
user_695,item_0,1,1.5
user_773,item_3,0,1.5
user_533,item_3,1,1.5
user_804,item_3,0,1.5
user_228,item_2,1,1.5
user_63,item_3,1,1.5
user_22,item_1,0,1.5
user_550,item_3,0,1.5
user_522,item_4,1,1.5
user_109,item_8,1,1.5
user_766,item_0,1,1.5
user_967,item_3,1,1.5
user_768,item_3,1,1.5
user_36,item_4,0,1.5
user_484,item_3,1,1.5
user_43,item_0,0,1.5
user_627,item_1,1,1.5
user_820,item_1,0,1.5
user_530,item_2,0,1.5
user_569,item_0,0,1.5
user_14,item_0,1,1.5
user_823,item_3,0,1.5
user_775,item_1,0,1.5
user_339,item_0,0,1.5
user_577,item_0,1,1.5
user_720,item_5,1,1.5
user_302,item_8,0,1.5
user_838,item_0,0,1.5
user_242,item_10,0,1.5
user_781,item_3,0,1.5
user_66,item_3,0,1.5
user_803,item_1,1,1.5
user_122,item_4,1,1.5
user_375,item_1,1,1.5
user_565,item_5,0,1.5
user_293,item_3,1,1.5
user_56,item_5,1,1.5
user_753,item_1,1,1.5
user_70,item_1,1,1.5
user_127,item_4,0,1.5
user_951,item_5,0,1.5
user_103,item_2,0,1.5
user_643,item_3,1,1.5
user_125,item_3,0,1.5
user_642,item_0,0,1.5
user_134,item_1,0,1.5
user_86,item_8,1,1.5
user_174,item_0,0,1.5
user_930,item_3,1,1.5
user_264,item_3,1,1.5
user_532,item_3,1,1.5
user_599,item_1,0,1.5
user_459,item_2,0,1.5
user_94,item_3,1,1.5
user_786,item_3,0,1.5
user_756,item_0,1,1.5
user_117,item_2,1,1.5
